alias,source_url,canonical
TSHEGOFATSO MOTSHEGARE,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1595,Tshegofatso Beatrice Motshegare
Lishivha Tshiwela Elida,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/698,Tshiwela Elida Lishivha
Godfrey Tsotetsi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1604,Coffee Godfrey Tsotetsi
Tsotetsi Godfrey,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1604,Coffee Godfrey Tsotetsi
T.W. Mchunu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1951,Thembinkosi Willies Mchunu
Ismail Vadi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1606,Ismail Vadi
Vadi Ismail,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1606,Ismail Vadi
Velly Manzini,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1045,Velly Makasana Manzini
Vivian Vuyelwa Tambo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1954,Vuyelwa Vivian Tambo
V.V. Tambo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1954,Vuyelwa Vivian Tambo
Wendy Matsemela,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1611,WENDY MATSEMELA
Wessels Tersia,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1612,Tersia Susara Wessels
W.G. Thusi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1955,Weziwe Gcotyelwa Thusi
Winnie Ngwenya,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/854,Winnie Ngwenya
W P Doman,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/609,Willem Phillips Doman
W.P. Zondi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1956,Winile Prudence Zondi
Mxolisi Xayiya,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1613,Mxolisi Eric Xayiya
Xayiya Mxolisi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1613,Mxolisi Eric Xayiya
Xola Pakati,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1614,Xola Anderson Pakati
Xolile Nqatha,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1615,Xolile Edmund Nqatha
Xoliswa Tom,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1616,Xoliswa Sandra Tom
Y.M. Nahara,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1957,Yatima Makhosazana Nahara
Z.M. Ludidi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1960,Zanele Maria Ludidi
Makhubele,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/729,Zondi Silence Makhubele
Z P Jordan,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/669,Zweledinga Pallo Jordan
