alias,source_url,canonical
Hunadi Mateme,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1379,Dr Mateme Hunadi Euphemia
Dumisani Dennis Gamede,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1031,Dennis Dumisani Gamede
Ximbi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1006,Dumsani Livingstone Ximbi
Desiree van der Walt,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1017,Désirée Van Der Walt
D van der Walt,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1017,Désirée Van Der Walt
Elza van Lingen,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1070,Elizabeth Christina Van Lingen
Bill Eloff,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/620,Ernst Hendrik Eloff
E.S. Mchunu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1882,Edward Senzo Mchunu
Nqaba Bhanga,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/850,Eugene Nhlanhla Nqaba Ngcobo
Eugene von Brandis,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1384,Eugene Jeffrey Von Brandis
E.V. Dube,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1883,Emmanuel Vusumuzi Dube
FENNY GAOLAOLWE,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1385,Galaletsang Fenny Gaolaolwe
Fikile Xasa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1386,Fikile Devilliers Xasa
Foni Florence Mushwana,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/835,Foni Florence Mushwana
Francois Adrianus Rodgers,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/908,Francoise Adrianus Rodgers
Frederik Mulder,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1388,Frederik Jacobus Mulder
Gareth Morgan,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/812,Gareth Richard Morgan
George Boinamo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/560,George Gaolatlhe Boinamo
Glenda Steyn,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1393,Glenda Jane Steyn
Mothibedi Kegakilwe,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1390,Mothibedi Gordon Kegakilwe
GORDON KEGAKILWE,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1390,Mothibedi Gordon Kegakilwe
McIntosh Mc lntosh,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/773,Graham Brian Douglas Mc Intosh
Mackenzie,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/711,Graham Peter Dalziel Mac Kenzie
Graham Mackenzie,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/711,Graham Peter Dalziel Mac Kenzie
Grant Haskin,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1394,Grant Christopher Ronald Haskin
Buleleni Gratitude Magwanishe,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/724,Gratitude Magwanishe
Scheemann,http://pmocl.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/915,Gregory David Schneemann
Gwala M. B.,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1963,Muziwenkosi Blessed Gwala
Gwen Ramakgopa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/541,Gwen Malegwale Ramokgopa
Ena van Schalkwyk,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/990,Helena Claudina Van Schalkwyk
Line-Hendriks,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/697,Helen Line-Hendriks
Helen Line,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/697,Helen Line-Hendriks
Helen Sauls-August,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1397,Helen Mercedes August
Helen Zille,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1398,Otta Helene Maree
Bokkie Geyer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1399,Helmar Philip Geyer
Helmar (Bokkie) Geyer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1399,Helmar Philip Geyer
